page,question_section_text,question_main_text,question_supplementary_text,uncertainty_flag,uncertainty_note
10,Section 1. Work,null,null,TRUE,Section only; main and supplementary missing
10,Section 1. Work,"1.1. Does the law prohibit discrimination in recruitment based on marital status, parental status, or age? ⓘ Select “Yes” if the law explicitly prohibits employers from discriminating based on marital status, parental status, or age in recruitment. Also select “Yes” if the law mandates a broad prohibition of discrimination based on marital status, parental status, or age and a general prohibition of discrimination in recruitment.",null,FALSE,null
10,Section 1. Work,"1.1. Does the law prohibit discrimination in recruitment based on marital status, parental status, or age? ⓘ Select “Yes” if the law explicitly prohibits employers from discriminating based on marital status, parental status, or age in recruitment. Also select “Yes” if the law mandates a broad prohibition of discrimination based on marital status, parental status, or age and a general prohibition of discrimination in recruitment.",1.1.1. Does the law prohibit discrimination in recruitment based on marital status?,FALSE,null
10,Section 1. Work,"1.1. Does the law prohibit discrimination in recruitment based on marital status, parental status, or age? ⓘ Select “Yes” if the law explicitly prohibits employers from discriminating based on marital status, parental status, or age in recruitment. Also select “Yes” if the law mandates a broad prohibition of discrimination based on marital status, parental status, or age and a general prohibition of discrimination in recruitment.",1.1.2. Does the law prohibit discrimination in recruitment based on parental status?,FALSE,null
11,Section 1. Work,"1.1. Does the law prohibit discrimination in recruitment based on marital status, parental status, or age? ⓘ Select “Yes” if the law explicitly prohibits employers from discriminating based on marital status, parental status, or age in recruitment. Also select “Yes” if the law mandates a broad prohibition of discrimination based on marital status, parental status, or age and a general prohibition of discrimination in recruitment.",1.1.3. Does the law prohibit discrimination in recruitment based on age?,FALSE,null
12,Section 1. Work,"1.2. Does the law prohibit discrimination in employment based on gender? ⓘ Select “Yes\ if the law prohibits employers from discriminating based on sex or gender or mandates equal treatment of women and men in employment. Select \""No\"" if the law does not prohibit such discrimination or only prohibits it in one aspect of employment"," such as pay or dismissal.""",null,FALSE
13,Section 1. Work,"1.3. Does the law allow employees to request flexible work? ⓘ Flexible work refers to the work arrangement where employees can choose the time or place of work (e.g., flextime and remote work). Select “Yes” if the law gives employees the right or option to request flexibility in time or place of work or if the law mandates equal treatment for employees using and not using flexible work. Select “No” if the law does not give employees the option to request flexibility in time or place of work.",null,FALSE,null
13,Section 1. Work,"1.3. Does the law allow employees to request flexible work? ⓘ Flexible work refers to the work arrangement where employees can choose the time or place of work (e.g., flextime and remote work). Select “Yes” if the law gives employees the right or option to request flexibility in time or place of work or if the law mandates equal treatment for employees using and not using flexible work. Select “No” if the law does not give employees the option to request flexibility in time or place of work.",1.3.1. Does the law allow employees to request flex time? ⓘ Flex time refers to a work arrangement that provides employees the flexibility to choose the time of work.,FALSE,null
13,Section 1. Work,"1.3. Does the law allow employees to request flexible work? ⓘ Flexible work refers to the work arrangement where employees can choose the time or place of work (e.g., flextime and remote work). Select “Yes” if the law gives employees the right or option to request flexibility in time or place of work or if the law mandates equal treatment for employees using and not using flexible work. Select “No” if the law does not give employees the option to request flexibility in time or place of work.",1.3.2. Does the law allow employees to request remote work?,FALSE,null
14,Section 1. Work,1.4. Please include any additional comments and links to laws relevant to this section. Please also let us know if there have been any recent or forthcoming reforms relevant to this section in __Data:Survey_Economy__:,null,FALSE,null
14,Section 1. Work,1.5. Are there any specific challenges to the enforcement of laws in practice that you would like to highlight?,null,FALSE,null
15,Section 2. Pay,null,null,TRUE,Section only; main and supplementary missing
15,Section 2. Pay,2.1. Does the law mandate equal remuneration for work of equal value?,null,FALSE,null
15,Section 2. Pay,2.1. Does the law mandate equal remuneration for work of equal value?,2.1.1. Is there an equal pay Yes/No law? 🔀 Skip Logic: This question should only be answered if “Change” is selected in response to the question “Do you want to propose a change to the answer?” under question 2.1 above.,FALSE,null
16,Section 2. Pay,2.1. Does the law mandate equal remuneration for work of equal value?,"2.1.1.1. If yes, does the law define “remuneration,” “pay,” “wage,” or “salary” as including BOTH basic wages or salary AND additional work-related payments or benefits? 🔀 Skip Logic: This question should only be answered if the answer to question 2.1.1 is “Yes.”",TRUE,Four-level numbering mapped to main question '2.1.'; original numbering is 2.1.1.1
16,Section 2. Pay,2.1. Does the law mandate equal remuneration for work of equal value?,"2.1.1.2. If yes, does the law mandate the payment of equal remuneration to male and female employees who perform work that is different in nature but is overall of equal value (i.e., it does not limit the principle of work of equal value to equal work, the same work, similar work, or work of a similar nature)? 🔀 Skip Logic: This question should only be answered if the answer to question 2.1.1 is “Yes.”",TRUE,Four-level numbering mapped to main question '2.1.'; original numbering is 2.1.1.2
16,Section 2. Pay,2.2. Can a woman work at night in the same way as a man?,null,FALSE,null
17,Section 2. Pay,2.2. Can a woman work at night in the same way as a man?,2.2.1. Can women work the same night hours as men?,FALSE,null
17,Section 2. Pay,2.2. Can a woman work at night in the same way as a man?,2.2.2. Does the law allow public authorities to restrict or prohibit women from working at night?,FALSE,null
18,Section 2. Pay,"2.3. Can a woman work in a job deemed dangerous in the same way as a man? ⓘ The answer is “No” only where legislation explicitly uses terms such as “hazardous,” “arduous,” “morally or socially inappropriate” or their synonyms to describe a broad category of jobs that women are legally prohibited from doing.",null,FALSE,null
18,Section 2. Pay,"2.3. Can a woman work in a job deemed dangerous in the same way as a man? ⓘ The answer is “No” only where legislation explicitly uses terms such as “hazardous,” “arduous,” “morally or socially inappropriate” or their synonyms to describe a broad category of jobs that women are legally prohibited from doing.",2.3.1. Hazardous __Data:Answer__ No change/Change __Data:Legal_Basis__,FALSE,null
18,Section 2. Pay,"2.3. Can a woman work in a job deemed dangerous in the same way as a man? ⓘ The answer is “No” only where legislation explicitly uses terms such as “hazardous,” “arduous,” “morally or socially inappropriate” or their synonyms to describe a broad category of jobs that women are legally prohibited from doing.",2.3.2. Arduous __Data:Answer__ No change/Change __Data:Legal_Basis__,FALSE,null
18,Section 2. Pay,"2.3. Can a woman work in a job deemed dangerous in the same way as a man? ⓘ The answer is “No” only where legislation explicitly uses terms such as “hazardous,” “arduous,” “morally or socially inappropriate” or their synonyms to describe a broad category of jobs that women are legally prohibited from doing.",2.3.3. Morally inappropriate __Data:Answer__ No change/Change __Data:Legal_Basis__,FALSE,null
